Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line Number,Line,Function,Assembly
IND,11936,6.11,5.11,0,0,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,bl #0x245ce0
IND,5857,12.36,11.36,0,3,0,???,0,???,???,???
IND,12454,5.72,4.72,0,0,0,(null),0,(null),(null),(null)
IND,12083,5.88,4.88,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,bl #0x24f130
IND,5716,12.31,11.31,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x1
IND,5754,11.60,10.60,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,cbz x0  #0x4a3d78
IND,12174,5.46,4.46,0,0,0,/home/ubuntu/rocksdb/util/coding.h,111,"      return p + 1;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b #0x4a3d50
IND,688,93.01,92.01,638,44,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,895,"    if (next == after || !KeyIsAfterNode(key, next)) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.eq #0x5e733c
IND,5208,9.77,8.77,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,549,"      if (out_of_order_node && x != head_ &&",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz x24  #0x5e6d58
IND,8100,5.46,4.46,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,564,"    } else if (cmp < 0) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b #0x5e6ce8
IND,202,194.67,193.67,10,10,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,895,"    if (next == after || !KeyIsAfterNode(key, next)) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.ne #0x5e7318
IND,5934,5.91,4.91,0,0,0,(null),0,(null),(null),(null)
IND,5770,5.92,4.92,0,0,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,bl #0x245ce0
IND,2775,12.31,11.31,2730,3,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,547,"    if (next != nullptr) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz x19  #0x5e6cfc
IND,5974,5.63,4.63,0,0,0,(null),0,(null),(null),(null)
IND,5686,5.82,4.82,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,bl #0x24f130
IND,1520,21.26,20.26,0,2,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,blr x5
IND,5678,5.47,4.47,0,0,0,/home/ubuntu/rocksdb/util/coding.h,111,"      return p + 1;",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b #0x4a3d50
IND,421,53.55,52.55,0,0,0,/home/ubuntu/rocksdb/util/random.h,58,"    if (seed_ > M) {",_ZN7rocksdb6Random12RandomStringB5cxx11Ei,b.pl #0x7216dc
IND,4001,5.43,4.43,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,564,"    } else if (cmp < 0) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b #0x5e6ce8
IND,365,57.87,56.87,361,4,0,/usr/include/c++/11/bits/random.tcc,455,"      if (_M_p >= state_size)",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,b.hi #0xa808
IND,1603,11.25,10.25,1405,54,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,888,"      if (next != nullptr && level > 0) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.le #0x5e736c
IND,1415,12.18,11.18,1397,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,547,"    if (next != nullptr) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz x19  #0x5e6cfc
IND,736,21.08,20.08,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,blr x5
IND,73,210.64,209.64,3,3,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,895,"    if (next == after || !KeyIsAfterNode(key, next)) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.ne #0x5e7318
IND,166,81.10,80.10,165,1,0,/usr/include/c++/11/bits/random.tcc,455,"      if (_M_p >= state_size)",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,b.hi #0xa808
IND,794,10.93,9.93,714,16,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,888,"      if (next != nullptr && level > 0) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.le #0x5e736c
IND,320,27.11,26.11,0,2,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,322,"    table_->Get(lookup_key, &verify_args, callback);",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,blr x4
IND,299,23.83,22.83,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,181,"    switch (mode_) {",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.eq #0xad88
IND,1214,5.56,4.56,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b #0x5e72e4
IND,296,21.65,20.65,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,375,"    for (unsigned int i = 0; i < num_ops_; ++i) {",_ZNSt6thread11_State_implINS_8_InvokerISt5tupleIJN7rocksdb29ConcurrentReadBenchmarkThreadEEEEEE6_M_runEv,b.hi #0xb060
IND,357,17.24,16.24,357,0,0,/home/ubuntu/rocksdb/db/dbformat.cc,251,"  if (needed <= sizeof(space_)) {",_ZN7rocksdb9LookupKeyC2ERKNS_5SliceEmPS2_,b.hi #0x451f28
IND,315,18.82,17.82,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,305,"                    callback_args->key->user_key())) {",_ZN7rocksdb19ReadBenchmarkThread8callbackEPvPKc,b.ne #0x8104
IND,310,18.81,17.81,12,2,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,302,"    if ((callback_args->comparator)",_ZN7rocksdb19ReadBenchmarkThread8callbackEPvPKc,cbz w0  #0x80c0
IND,347,16.78,15.78,347,0,0,/home/ubuntu/rocksdb/memtable/skiplistrep.cc,93,"  }",_ZN7rocksdb12_GLOBAL__N_111SkipListRep3GetERKNS_9LookupKeyEPvPFbS5_PKcE,b.ne #0x5e5a24
IND,282,20.47,19.47,282,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,544,"  const DecodedKey key_decoded = compare_.decode_key(key);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.ne #0x5e6de4
IND,334,17.03,16.03,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,304,"            ->Equal(Slice(key_ptr, key_length - 8),",_ZN7rocksdb19ReadBenchmarkThread8callbackEPvPKc,blr x3
IND,712,7.81,6.81,712,0,0,(null),0,(null),(null),(null)
IND,320,16.89,15.89,0,0,0,???,0,???,???,???
IND,677,7.96,6.96,629,1,0,(null),0,(null),(null),(null)
IND,655,8.10,7.10,0,0,0,(null),0,(null),(null),(null)
IND,307,17.15,16.15,307,0,0,/home/ubuntu/rocksdb/util/comparator.cc,323,"  STATIC_AVOID_DESTRUCTION(BytewiseComparatorImpl, bytewise);",_ZN7rocksdb18BytewiseComparatorEv,tbz w1  #0  #0x717780
IND,316,16.59,15.59,0,0,0,(null),0,(null),(null),(null)
IND,897,5.82,4.82,834,64,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,562,"    if (cmp == 0 || (cmp > 0 && level == 0)) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz w20  #0x5e6da0
IND,319,16.28,15.28,319,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,309,"  }",_ZN7rocksdb19ReadBenchmarkThread8callbackEPvPKc,b.ne #0x8124
IND,300,16.88,15.88,300,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,327,"  }",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.ne #0xaf14
IND,340,14.45,13.45,0,0,0,/home/ubuntu/rocksdb/util/comparator.cc,325,"}",_ZN7rocksdb18BytewiseComparatorEv,ret 
IND,290,16.41,15.41,0,0,0,???,0,???,???,???
