Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line,Function,Assembly
IND,3,6.00,5.00,0,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1aebc60,(null),_ZN2v88internal4wasm7fuzzing12_GLOBAL__N_113WasmGeneratorILNS2_27WasmModuleGenerationOptionsE1EE14op_with_prefixILNS1_10WasmOpcodeE64958EJLNS1_9ValueKindE5ELS9_5EEEEvPNS3_9DataRangeE,mov x0  x19
COND,1,18.00,17.00,1,0,0,/home/ubuntu/aperf:0xe3c7f4,(null),_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$10deallocate17haf75e110a66311adE,cbz x1  #0xe3c804
COND,1,17.00,16.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1b8f418,(null),_ZN5cppgc8internal20PersistentRegionLock12AssertLockedEv,blr x3
IND,1,17.00,16.00,0,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x2457388,(null),_ZN6icu_7613LocaleBuilder10setVariantENS_11StringPieceE,str w0  [x20  #8]
COND,1,17.00,16.00,1,0,0,/home/ubuntu/hotline_c/hotline.c:556,???,parse_spe_record,b.ne #0x466dbc
COND,1,17.00,16.00,1,0,0,/home/ubuntu/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/perf-event-data-0.1.2/src/parse.rs:437,???,_ZN15perf_event_data5parse19Parser$LT$B$C$E$GT$11parse_slice17hd7533d6e39ec7dfdE,tbz w8  #0  #0xcf0f68
COND,1,16.00,15.00,1,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3385,???,???,cbz x3  #0x8dcb0
IND,1,16.00,15.00,0,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1aeb2f0,(null),_ZN2v88internal4wasm7fuzzing12_GLOBAL__N_113WasmGeneratorILNS2_27WasmModuleGenerationOptionsE3EE14op_with_prefixILNS1_10WasmOpcodeE64889EJLNS1_9ValueKindE5ELS9_5EEEEvPNS3_9DataRangeE,mov x0  x19
COND,1,16.00,15.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1aebbf4,(null),_ZN2v88internal4wasm7fuzzing12_GLOBAL__N_113WasmGeneratorILNS2_27WasmModuleGenerationOptionsE1EE14op_with_prefixILNS1_10WasmOpcodeE64958EJLNS1_9ValueKindE5ELS9_5EEEEvPNS3_9DataRangeE,mov x29  sp
COND,1,16.00,15.00,1,0,0,/home/ubuntu/hotline_c/btree.c:630,???,btree_get0,cbz x19  #0x467b78
COND,1,16.00,15.00,0,0,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:3546,???,_ZN5alloc3vec16Vec$LT$T$C$A$GT$16extend_desugared17h8dcfe8931b636977E,tbz w8  #0  #0xcf9aa8
COND,1,16.00,15.00,1,0,0,/home/ubuntu/aperf:0xe3c7ec,(null),_ZN5alloc7raw_vec20RawVecInner$LT$A$GT$10deallocate17haf75e110a66311adE,cbz x2  #0xe3c804
IND,1,15.00,14.00,0,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3395,???,???,ret 
COND,1,15.00,14.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xd74310,(null),???,???
IND,3,5.00,4.00,0,0,0,/home/ubuntu/hotline_c/btree.c:213,???,btree_node_bsearch,b #0x467894
COND,1,15.00,14.00,1,0,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/alloc/layout.rs:111,???,_ZN4core5alloc6layout6Layout13repeat_packed17h2aaaeee6d2b694daE,b.hi #0x969400
COND,1,15.00,14.00,0,0,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/result.rs:2009,???,_ZN79_$LT$core..result..Result$LT$T$C$E$GT$$u20$as$u20$core..ops..try_trait..Try$GT$6branch17hda68aac8e1207916E,tbz w8  #0  #0xcf0420
IND,1,15.00,14.00,0,0,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/iterator.rs:2844,???,_ZN4core4iter6traits8iterator8Iterator4find5check28_$u7b$$u7b$closure$u7d$$u7d$17h6e1666f5356164bbE,ret 
COND,1,14.00,13.00,1,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4450,???,???,cbz x3  #0x8afdc
COND,1,14.00,13.00,0,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4534,???,???,cbnz w1  #0x8b1f4
COND,1,14.00,13.00,1,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4590,???,???,tbz w0  #0  #0x8b684
COND,1,14.00,13.00,0,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4672,???,???,b.hi #0x8b378
IND,1,14.00,13.00,0,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe9c8,(null),???,???
COND,1,14.00,13.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x24fbd9c,(null),uprops_addPropertyStarts_76,add w1  w21  #1
IND,1,14.00,13.00,0,0,0,/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.30:0x9d52c,(null),???,???
IND,1,14.00,13.00,0,0,0,/home/ubuntu/hotline_c/hotline.c:305,???,add_global_filename,ret 
IND,1,13.00,12.00,0,0,0,/usr/lib/aarch64-linux-gnu/stdio-common/vfscanf-internal.c:509,???,???,b #0x52d58
COND,1,13.00,12.00,1,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:2005,???,???,cbnz w1  #0x8cb68
COND,1,13.00,12.00,1,0,0,/usr/lib/aarch64-linux-gnu/libc.so.6:0x12fdfc,(null),???,cbz w16  #0x12fe08
COND,1,13.00,12.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1a91470,(null),_ZN2v88internal4wasm10ZoneBuffer10write_u32vEj,str x3  [x22  #0x10]
COND,1,13.00,12.00,1,0,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,b.hi #0x4668b0
COND,1,13.00,12.00,1,0,0,/home/ubuntu/library/core/src/fmt/num.rs:247,???,_ZN4core3fmt3num3imp21_$LT$impl$u20$u64$GT$4_fmt17hdc48377a025baecbE,b.lo #0xe58810
COND,1,12.00,11.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x11e66a0,(null),_ZN2v88internal35Builtin_TemporalCalendarConstructorEiPmPNS0_7IsolateE,sub x1  x1  x4
COND,1,12.00,11.00,0,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x241f620,(null),HUF_readDTableX2_wksp,b.eq #0x241f720
COND,1,12.00,11.00,1,0,0,/home/ubuntu/.vscode-server/extensions/ms-vscode.cpptools-1.26.3-linux-arm64/bin/cpptools:0xec816c,(null),_ZL31create_pack_instantiation_descrP22a_pack_expansion_descrP16a_template_paramP14a_template_argiiiP12a_ctws_statePi.constprop.0,b #0xec7eec
COND,2,6.00,5.00,0,0,0,/home/ubuntu/hotline_c/hotline.c:387,???,pc_to_file_offset,b.ne #0x466880
IND,1,12.00,11.00,0,0,0,/home/ubuntu/hotline_c/hotline.c:899,???,process_aux_record,ret 
IND,2,6.00,5.00,0,0,0,/home/ubuntu/hotline_c/hotline.c:745,???,process_aux_buffer,bl #0x466cd0
IND,1,12.00,11.00,0,0,0,/home/ubuntu/src/group_data.rs:189,???,_ZN108_$LT$perf_event..group_data..GroupData$u20$as$u20$core..ops..index..Index$LT$$RF$perf_event..Counter$GT$$GT$5index28_$u7b$$u7b$closure$u7d$$u7d$17hcacd4d91be22676eE,ret 
IND,1,11.00,10.00,0,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:4702,???,???,ret 
COND,1,11.00,10.00,1,0,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3857,???,???,b.ne #0x8ca74
COND,1,11.00,10.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x18b5050,(null),_ZN2v88internal4wasm11AsmJsParser20RelationalExpressionEv,stp x29  x30  [sp  #-0x30]!
